LOCATIONID,LAT,LON,POLICE_DISTRICT,DISTRICT
520,42.33,-71.07,B2,Roxbury
521,42.33,-71.03,C6,South Boston
522,42.34,-71.03,C6,South Boston
523,42.28,-71.07,B3,Mattapan
524,42.34,-71.08,D4,South End
525,42.34,-71.08,D4,South End
526,42.38,-71.06,A15,Charlestown
527,42.32,-71.08,B2,Roxbury
528,42.25,-71.13,E18,Hyde Park
529,42.33,-71.08,B2,Roxbury
530,42.28,-71.07,B3,Mattapan
531,42.34,-71.05,C6,South Boston
532,42.34,-71.05,C6,South Boston
533,42.33,-71.1,B2,Roxbury
534,42.34,-71.05,C6,South Boston
535,42.36,-71.05,A1,Downtown?
536,42.36,-71.07,A1,Downtown?
537,42.35,-71.14,D14,Brighton
538,42.33,-71.08,B2,Roxbury
539,42.27,-71.15,E5,West Roxbury
540,42.32,-71.06,C11,Dorchester
541,42.32,-71.1,E13,Jamaica Plain
542,42.35,-71.14,D14,Brighton
543,42.29,-71.06,C11,Dorchester
544,42.27,-71.12,E18,Hyde Park
545,42.3,-71.08,B3,Mattapan
546,42.3,-71.07,C11,Dorchester
547,42.35,-71.17,D14,Brighton
548,42.35,-71.13,D14,Brighton
549,42.29,-71.07,B3,Mattapan
550,42.35,-71.15,D14,Brighton
551,42.35,-71.14,D14,Brighton
552,42.3,-71.09,B3,Mattapan
553,42.34,-71.03,C6,South Boston
554,42.33,-71.17,D14,Brighton
555,42.34,-71.09,D4,South End
556,42.34,-71.08,D4,South End
557,42.32,-71.06,C11,Dorchester
558,42.33,-71.05,C6,South Boston
559,42.3,-71.06,C11,Dorchester
560,42.33,-71.07,B2,Roxbury
561,42.36,-71.07,A1,Downtown?
562,42.29,-71.07,C11,Dorchester
563,42.28,-71.07,C11,Dorchester
564,42.28,-71.07,B3,Mattapan
565,42.3,-71.06,C11,Dorchester
566,42.26,-71.12,E18,Hyde Park
567,42.35,-71.13,D14,Brighton
568,42.33,-71.07,B2,Roxbury
569,42.32,-71.07,B2,Roxbury
570,42.32,-71.06,C11,Dorchester
571,42.36,-71.05,A1,Downtown?
572,42.32,-71.09,B2,Roxbury
573,42.34,-71.07,D4,South End
574,42.28,-71.09,B3,Mattapan
575,42.29,-71.09,B3,Mattapan
576,42.36,-71.06,A1,Downtown?
577,42.34,-71.09,D4,South End
578,42.35,-71.06,A1,Downtown?
579,42.29,-71.14,E5,West Roxbury
580,42.36,-71.06,,
581,42.32,-71.08,B2,Roxbury
582,42.35,-71.13,D14,Brighton
583,42.35,-71.11,D14,Brighton
584,42.3,-71.07,C11,Dorchester
585,42.29,-71.05,C11,Dorchester
586,42.29,-71.05,C11,Dorchester
587,42.35,-71.07,A1,Downtown?
588,42.33,-71.11,E13,Jamaica Plain
589,42.33,-71.1,B2,Roxbury
590,42.35,-71.16,D14,Brighton
591,42.32,-71.1,,
592,42.3,-71.08,B3,Mattapan
593,42.33,-71.11,B2,Roxbury
594,42.31,-71.06,C11,Dorchester
595,42.38,-71.04,A7,East Boston
596,42.36,-71.06,A1,Downtown?
597,42.34,-71.08,D4,South End
598,42.3,-71.06,C11,Dorchester
599,42.38,-71.06,A15,Charlestown
600,42.35,-71.13,D14,Brighton
601,42.35,-71.1,D4,South End
602,42.36,-71.05,,
603,42.32,-71.08,B2,Roxbury
604,42.31,-71.09,B2,Roxbury
605,42.38,-71.03,A7,East Boston
606,42.37,-71.04,A7,East Boston
607,42.33,-71.05,C6,South Boston
608,42.29,-71.08,B3,Mattapan
609,42.29,-71.15,E5,West Roxbury
610,42.3,-71.13,E13,Jamaica Plain
611,42.3,-71.06,C11,Dorchester
612,42.35,-71.15,D14,Brighton
613,42.26,-71.16,E5,West Roxbury
614,42.32,-71.09,B2,Roxbury
615,42.35,-71.14,D14,Brighton
616,42.37,-71.06,,
617,42.29,-71.16,E5,West Roxbury
618,42.3,-71.12,E13,Jamaica Plain
619,42.34,-71.08,D4,South End
620,42.35,-71.14,D14,Brighton
621,42.27,-71.08,B3,Mattapan
622,42.36,-71.06,A1,Downtown?
623,42.28,-71.07,B3,Mattapan
624,42.34,-71.07,D4,South End
625,42.27,-71.1,B3,Mattapan
626,42.28,-71.09,B3,Mattapan
627,42.3,-71.17,E5,West Roxbury
628,42.32,-71.08,B2,Roxbury
629,42.29,-71.06,C11,Dorchester
630,42.32,-71.06,C6,South Boston
631,42.35,-71.08,D4,South End
632,42.29,-71.06,C11,Dorchester
633,42.29,-71.05,C11,Dorchester
634,42.35,-71.14,D14,Brighton
635,42.27,-71.07,B3,Mattapan
636,42.35,-71.14,,
637,42.31,-71.09,B2,Roxbury
638,42.38,-71.06,A15,Charlestown
639,42.3,-71.07,C11,Dorchester
640,42.29,-71.16,E5,West Roxbury
641,42.31,-71.06,C11,Dorchester
642,42.35,-71.08,D4,South End
643,42.37,-71.06,A1,Downtown?
644,42.33,-71.07,B2,Roxbury
645,42.32,-71.06,C6,South Boston
646,42.27,-71.16,E5,West Roxbury
647,42.33,-71.11,E13,Jamaica Plain
648,42.38,-71.0,A7,East Boston
649,42.38,-71.03,A7,East Boston
650,42.35,-71.17,D14,Brighton
651,42.35,-71.15,D14,Brighton
652,42.37,-71.06,A15,Charlestown
653,42.33,-71.04,C6,South Boston
654,42.28,-71.13,E5,West Roxbury
655,42.33,-71.04,C6,South Boston
656,42.26,-71.13,E18,Hyde Park
657,42.31,-71.07,C11,Dorchester
658,42.25,-71.13,E18,Hyde Park
659,42.3,-71.07,C11,Dorchester
660,42.35,-71.13,D14,Brighton
661,42.26,-71.13,E18,Hyde Park
662,42.28,-71.05,C11,Dorchester
663,42.26,-71.12,E18,Hyde Park
664,42.32,-71.1,E13,Jamaica Plain
665,42.3,-71.09,B3,Mattapan
666,42.33,-71.08,B2,Roxbury
667,42.35,-71.05,C6,South Boston
668,42.37,-71.04,A7,East Boston
669,42.36,-71.06,A1,Downtown?
670,42.35,-71.06,A1,Downtown?
671,42.33,-71.08,B2,Roxbury
672,42.35,-71.13,D14,Brighton
673,42.31,-71.08,B2,Roxbury
674,42.33,-71.11,E13,Jamaica Plain
675,42.35,-71.06,D4,South End
676,42.33,-71.07,C6,South Boston
677,42.32,-71.1,E13,Jamaica Plain
678,42.32,-71.07,B2,Roxbury
679,42.31,-71.08,B2,Roxbury
680,42.35,-71.16,D14,Brighton
681,42.33,-71.1,B2,Roxbury
682,42.31,-71.06,C11,Dorchester
683,42.35,-71.15,D14,Brighton
684,42.3,-71.06,C11,Dorchester
685,42.27,-71.13,E18,Hyde Park
686,42.29,-71.11,E18,Hyde Park
687,42.33,-71.11,E13,Jamaica Plain
688,42.36,-71.06,A1,Downtown?
689,42.35,-71.09,D4,South End
690,42.34,-71.09,D4,South End
691,42.35,-71.08,D4,South End
692,42.28,-71.09,B3,Mattapan
693,42.38,-71.07,A15,Charlestown
694,42.34,-71.15,D14,Brighton
695,42.27,-71.12,E18,Hyde Park
696,42.32,-71.06,C11,Dorchester
697,42.32,-71.08,B2,Roxbury
698,42.32,-71.1,E13,Jamaica Plain
699,42.33,-71.11,B2,Roxbury
700,42.31,-71.08,B2,Roxbury
701,42.33,-71.05,C6,South Boston
702,42.36,-71.06,,
703,42.28,-71.17,E5,West Roxbury
704,42.29,-71.07,C11,Dorchester
705,42.24,-71.14,E18,Hyde Park
706,42.31,-71.07,C11,Dorchester
707,42.27,-71.11,E18,Hyde Park
708,42.34,-71.15,D14,Brighton
709,42.33,-71.08,B2,Roxbury
710,42.25,-71.12,E18,Hyde Park
711,42.36,-71.07,A1,Downtown?
712,42.33,-71.11,,
713,42.26,-71.12,E18,Hyde Park
714,42.31,-71.1,E13,Jamaica Plain
715,42.28,-71.15,E5,West Roxbury
716,-1.0,-1.0,,
717,42.33,-71.1,B2,Roxbury
718,42.3,-71.09,B3,Mattapan
