LOCATIONID,STREET,LAT,LON,POLICE_DISTRICT,DISTRICT
264,COLUMBUS AVE,42.31362799,-71.09560307,E13,Jamaica Plain
265,HARVARD ST,42.29629726,-71.08115283,B3,Mattapan
267,TOPLIFF ST,42.30336787,-71.06827221,C11,Dorchester
268,SYMPHONY RD,42.34295335,-71.08833139,D4,South End
269,FIRST AVE,42.37749764,-71.05031219,A15,Charlestown
270,RIVER ST,42.25387435,-71.12912445,E18,Hyde Park
271,ELM HILL AVE,42.30973269,-71.08734852,B2,Roxbury
272,STANWOOD ST,42.30994883,-71.08146033,B2,Roxbury
273,BOYLSTON ST,42.34862382,-71.08277637,D4,South End
274,PURITAN AVE,42.30736306,-71.07165237,C11,Dorchester
276,MATTAPAN ST,42.27732507,-71.09483139,B3,Mattapan
277,ROYAL ST,42.3575106,-71.12996479,D14,Brighton
278,NEPONSET AVE,42.29668913,-71.05555843,C11,Dorchester
279,HOMESTEAD ST,42.31014403,-71.08759179,B2,Roxbury
280,GALLIVAN BLVD,42.28158633,-71.06033424,C11,Dorchester
281,DORCHESTER AVE,42.28526024,-71.06444063,C11,Dorchester
282,HYDE PARK AVE,42.26701085,-71.12096171,E18,Hyde Park
284,GILMER ST,42.28281074,-71.09722321,B3,Mattapan
285,HAVILAND ST,42.34662361,-71.08740594,D4,South End
286,BEACON ST,42.35275712,-71.08240215,D4,South End
287,W BROADWAY,42.34274131,-71.05735681,C6,South Boston
288,TALBOT AVE,42.29138891,-71.07599527,B3,Mattapan
289,BOWDOIN ST,42.30573977,-71.06762362,C11,Dorchester
290,S HUNTINGTON AVE,42.33041036,-71.11148382,E13,Jamaica Plain
291,GREENVILLE ST,42.32696802,-71.08051941,B2,Roxbury
292,CENTRE ST,42.32277007,-71.10445458,E13,Jamaica Plain
293,MCKINLEY SQ,42.35934139,-71.05333104,A1,Downtown
294,DORCHESTER AVE,42.30420472,-71.05919227,C11,Dorchester
295,FIDELIS WAY,42.34600287,-71.14387725,D14,Brighton
296,WINTER ST,42.35554806,-71.0607314,A1,Downtown
297,SEAVER ST,42.30878855,-71.09055618,B2,Roxbury
298,RIDGEWOOD ST,42.30209443,-71.06575183,C11,Dorchester
299,GREENBRIER ST,42.29642169,-71.07045327,C11,Dorchester
300,WARREN ST,42.32823419,-71.08328981,B2,Roxbury
301,BOWDOIN ST,42.3078312,-71.06529544,C11,Dorchester
302,ADAMS ST,42.30569111,-71.06164783,C11,Dorchester
303,MASSACHUSETTS AVE,42.34439568,-71.08632016,D4,South End
304,WELLES AVE,42.28854881,-71.06894162,C11,Dorchester
305,COMMONWEALTH AVE,42.35053956,-71.13106722,D14,Brighton
306,GLENWAY ST,42.2991897,-71.08150445,B3,Mattapan
307,HARVARD ST,42.28968115,-71.09212545,B3,Mattapan
308,BLAKE ST,42.26448463,-71.10697097,E18,Hyde Park
309,WINBOROUGH ST,42.26548267,-71.10516125,E18,Hyde Park
310,W FIFTH ST,42.3359851,-71.05008287,C6,South Boston
311,TEMPLETON WAY,42.29004265,-71.05725661,C11,Dorchester
312,VFW PKWY,42.2802082,-71.17087959,E5,West Roxbury
313,WESTERN AVE,42.36330598,-71.12841637,D14,Brighton
314,PIERCE AVE,42.28743256,-71.0526387,C11,Dorchester
315,RUTHERFORD AVE,42.38025398,-71.07113638,A15,Charlestown
316,HARRISON AVE,42.34493428,-71.06366374,D4,South End
317,LAWRENCE AVE,42.31286677,-71.07841587,B2,Roxbury
318,E BROADWAY,42.33556114,-71.03993118,C6,South Boston
319,TALBOT AVE,42.28863812,-71.06631579,C11,Dorchester
320,WILLIAMS ST,42.33237733,-71.08237779,B2,Roxbury
321,LAURIE AVE,42.27033908,-71.16975904,E5,West Roxbury
322,TRUMAN PKWY,42.24124926,-71.12629908,E18,Hyde Park
324,CANAL ST,42.36394509,-71.05942841,A1,Downtown
325,PUTNAM ST,42.37916578,-71.03258617,A7,East Boston
326,HARVARD AVE,42.35204779,-71.13180684,D14,Brighton
327,HUNTINGTON AVE,42.33332888,-71.10659534,B2,Roxbury
328,GALLIVAN BLVD,42.28370031,-71.04776143,C11,Dorchester
329,CORONA ST,42.30097791,-71.07077333,C11,Dorchester
330,ANNABEL ST,42.31828902,-71.06265046,C11,Dorchester
331,RIVER ST,42.25519156,-71.12761721,E18,Hyde Park
332,ATLANTIC AVE,42.36033276,-71.0521729,A1,Downtown
333,CRESCENT AVE,42.31895064,-71.05449231,C11,Dorchester
334,HAMMOND ST,42.33651082,-71.08339215,D4,South End
336,CHICKATAWBUT ST,42.28665631,-71.04640009,C11,Dorchester
337,HENCHMAN ST,42.36721232,-71.05369636,A1,Downtown
338,E EIGHTH ST,42.33131745,-71.04411164,C6,South Boston
