LOCATIONID,STREET,LAT,LON,POLICE_DISTRICT,DISTRICT
475,MELLEN ST,42.29,-71.07,C11,Dorchester
476,WASHINGTON ST,42.3,-71.11,E13,Jamaica Plain
477,E BROOKLINE ST,42.34,-71.07,D4,South End
478,MARCELLA ST,42.32,-71.09,B2,Roxbury
479,WASHINGTON ST,42.3,-71.07,C11,Dorchester
480,OLNEY ST,42.31,-71.07,C11,Dorchester
481,SALEM ST,42.36,-71.06,A1,Downtown?
482,QUINCY ST,42.31,-71.07,C11,Dorchester
483,HYDE PARK AVE,42.25,-71.13,E18,Hyde Park
484,POTOMAC ST,42.29,-71.16,E5,West Roxbury
485,CHELSEA ST,42.38,-71.03,A7,East Boston
486,BROOK AVE,42.32,-71.07,B2,Roxbury
487,HOWELL ST,42.32,-71.06,C6,South Boston
488,ROYCE RD,42.35,-71.13,D14,Brighton
489,PARK ST,42.3,-71.06,C11,Dorchester
490,KENBERMA RD,42.3,-71.07,B3,Mattapan
491,,42.3,-71.06,,
492,ANTWERP ST,42.36,-71.14,D14,Brighton
493,MONPONSET ST,42.26,-71.1,E18,Hyde Park
494,COURT ST,42.36,-71.06,A1,Downtown?
495,THEODORE ST,42.28,-71.09,B3,Mattapan
496,DORCHESTER ST,42.33,-71.06,C6,South Boston
